id	gender	age	outcome	multiple_single	study	acc_rate_irrelevant	acc_rate_probe	acc_rate_target	overall_acc_irrelevant	overall_acc_probe	overall_acc_target	rt_mean_irrelevant	rt_mean_probe	rt_mean_target	overall_acc_allmain	dataset	rt_mean_diff	acc_rate_diff	acc_rate_itarget	acc_rate_nontarget	overall_acc_itarget	overall_acc_nontarget	rt_mean_itarget	rt_mean_nontarget	rt_mean_ti_diff	acc_rate_ti_diff
id1	1	26	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.968503937007874	0.8125	0.741935483870968	0.9609375	0.8125	0.71875	481.943089430887	487.346153846154	485.130434782584	0.93125	12	5.40306441526673	-0.156003937007874	NA	NA	NA	NA	NA	NA	3.18734535169688	-0.226568453136906
id2	1	24	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.936	0.90625	0.741935483870968	0.9140625	0.90625	0.71875	415.376068376068	433.103448275863	489.217391304347	0.9125	12	17.7273798997941	-0.0297500000000001	NA	NA	NA	NA	NA	NA	73.8413229282787	-0.194064516129032
id4	2	28	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.976377952755906	0.90625	0.75	0.96875	0.90625	0.75	445.478587588471	504.712371570853	631.800257515944	0.95625	11	59.2337839823818	-0.0701279527559056	NA	NA	NA	NA	NA	NA	186.321669927473	-0.226377952755906
id5	2	28	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9765625	0.96875	0.84375	0.9765625	0.96875	0.84375	512.512000000041	488.161290322693	650.037037037185	0.975	11	-24.3507096773476	-0.0078125	NA	NA	NA	NA	NA	NA	137.525037037145	-0.1328125
id6	1	31	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.937007874015748	0.96875	0.53125	0.9296875	0.96875	0.53125	481.134453781605	474.354838709764	627.35294117652	0.9375	11	-6.77961507184079	0.031742125984252	NA	NA	NA	NA	NA	NA	146.218487394916	-0.405757874015748
id7	2	27	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.992	0.967741935483871	0.84375	0.96875	0.9375	0.84375	402.258064516129	396.866666666667	563.666666666667	0.9625	12	-5.39139784946235	-0.024258064516129	NA	NA	NA	NA	NA	NA	161.408602150538	-0.14825
id8	2	27	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.968503937007874	1	0.78125	0.9609375	1	0.78125	472.576284414634	453.684968531249	641.960717999999	0.96875	11	-18.8913158833851	0.031496062992126	NA	NA	NA	NA	NA	NA	169.384433585365	-0.187253937007874
id9	2	23	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9765625	1	0.84375	0.9765625	1	0.84375	425.936000004411	425.562499996886	529.740740741275	0.98125	12	-0.373500007524854	0.0234375	NA	NA	NA	NA	NA	NA	103.804740736865	-0.1328125
id10	2	20	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.926829268292683	0.875	0.71875	0.890625	0.875	0.71875	452.963008773064	447.421892870417	569.815913033064	0.8875	12	-5.54111590264654	-0.051829268292683	NA	NA	NA	NA	NA	NA	116.852904260001	-0.208079268292683
id11	2	19	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9375	0.9375	0.84375	0.9375	0.9375	0.84375	486.377469795811	486.938756279059	575.904404819069	0.9375	11	0.561286483248182	0	NA	NA	NA	NA	NA	NA	89.5269350232577	-0.09375
id12	1	22	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.936	1	0.5625	0.9140625	0.9375	0.5625	378.29059828819	371.833333328444	515.944444435364	0.91875	12	-6.45726495974645	0.0639999999999999	NA	NA	NA	NA	NA	NA	137.653846147174	-0.3735
id13	1	19	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.958677685950413	1	0.633333333333333	0.90625	0.90625	0.59375	424.336206896787	427.168275863143	498.147947368699	0.90625	12	2.83206896635642	0.0413223140495868	NA	NA	NA	NA	NA	NA	73.8117404719127	-0.32534435261708
id14	1	24	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984375	1	0.5625	0.984375	0.96875	0.5625	462.412698412698	441.096774193548	572.777777777778	0.98125	11	-21.31592421915	0.015625	NA	NA	NA	NA	NA	NA	110.365079365079	-0.421875
id15	2	19	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9453125	0.96875	0.59375	0.9453125	0.96875	0.59375	445.443603306122	460.763612904327	653.131157894677	0.95	11	15.320009598205	0.0234375	NA	NA	NA	NA	NA	NA	207.687554588555	-0.3515625
id16	2	28	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984251968503937	0.96875	0.59375	0.9765625	0.96875	0.59375	420.176000000008	392.161290322615	483.263157894778	0.975	12	-28.0147096773936	-0.015501968503937	NA	NA	NA	NA	NA	NA	63.0871578947699	-0.390501968503937
id17	2	25	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9375	0.78125	0.65625	0.9375	0.78125	0.65625	543.216666660737	609.079999984242	663.238095236011	0.90625	11	65.8633333235048	-0.15625	NA	NA	NA	NA	NA	NA	120.021428575274	-0.28125
id18	2	18	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.992125984251969	0.875	0.53125	0.984375	0.875	0.53125	460.76190476546	518.428571422451	634.117647046771	0.9625	11	57.6666666569913	-0.117125984251969	NA	NA	NA	NA	NA	NA	173.355742281311	-0.460875984251969
id19	1	25	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	1	0.96875	0.71875	0.984375	0.96875	0.71875	463.261904755777	470.838709666784	639.695652168366	0.98125	12	7.57680491100706	-0.03125	NA	NA	NA	NA	NA	NA	176.433747412588	-0.28125
id20	2	21	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9375	0.8125	0.5625	0.9375	0.8125	0.5625	559.563975000007	617.856923077432	689.728277777451	0.9125	11	58.2929480774254	-0.125	NA	NA	NA	NA	NA	NA	130.164302777444	-0.375
